Question,Condition,GeneratedSQL,ExecutionResult,ErrorMessage,Result
Show all class schedules this semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot, cc.class_id, c.course_id
FROM Schedules s
INNER JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
INNER JOIN Courses c ON cc.course_id = c.course_id
WHERE cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""schedule_id"": ""AI01_AIL_1"",
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 1,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_2"",
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 2,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_3"",
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 3,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_4"",
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 4,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_5"",
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 5,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_NLP_1"",
    ""start_time"": ""2025-01-06T10:00:00"",
    ""end_time"": ""2025-01-06T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 1,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_2"",
    ""start_time"": ""2025-01-08T07:30:00"",
    ""end_time"": ""2025-01-08T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 2,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_3"",
    ""start_time"": ""2025-01-13T10:00:00"",
    ""end_time"": ""2025-01-13T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 3,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_4"",
    ""start_time"": ""2025-01-15T07:30:00"",
    ""end_time"": ""2025-01-15T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 4,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_5"",
    ""start_time"": ""2025-01-20T10:00:00"",
    ""end_time"": ""2025-01-20T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 5,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""IA01_IAM_1"",
    ""start_time"": ""2025-01-06T12:50:00"",
    ""end_time"": ""2025-01-06T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 1,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_2"",
    ""start_time"": ""2025-01-08T15:20:00"",
    ""end_time"": ""2025-01-08T17:40:00"",
    ""room"": ""R004"",
    ""slot"": 2,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_3"",
    ""start_time"": ""2025-01-13T12:50:00"",
    ""end_time"": ""2025-01-13T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 3,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_4"",
    ""start_time"": ""2025-01-15T15:20:00"",
    ""end_time"": ""2025-01-15T17:40:00"",
    ""room"": ""R004"",
    ""slot"": 4,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_5"",
    ""start_time"": ""2025-01-20T12:50:00"",
    ""end_time"": ""2025-01-20T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 5,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  }
]"
Show the schedule for classes on September 9th 2024.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.*
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
WHERE CAST(s.start_time AS DATE) = '2024-09-09';",SUCCESS,,"[
  {
    ""schedule_id"": ""AI01_MAE_1"",
    ""class_course_id"": ""AI01_MAE"",
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002"",
    ""slot"": 1
  },
  {
    ""schedule_id"": ""IA01_MAE_1"",
    ""class_course_id"": ""IA01_MAE"",
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 1
  }
]"
How many classes are held room 'R001' in this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT T1.class_course_id)
FROM Schedules AS T1
INNER JOIN ClassCourse AS T2 ON T1.class_course_id = T2.class_course_id
WHERE T1.room = 'R001' AND T2.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    """": 1
  }
]"
Show the schedules for morning classes this semester (include class and course),"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, c.class_id, co.course_id, co.course_name,s.start_time, s.end_time
FROM Schedules s
JOIN ClassCourse co ON s.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE CAST(s.start_time AS TIME) >= '07:00:00' AND CAST(s.start_time AS TIME) < '12:00:00' AND co.semester = (SELECT MAX(semester) FROM ClassCourse);",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW) executing query: SELECT s.schedule_id, c.class_id, co.course_id, co.course_name,s.start_time, s.end_time
FROM Schedules s
JOIN ClassCourse co ON s.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE CAST(s.start_time AS TIME) >= '07:00:00' AND CAST(s.start_time AS TIME) < '12:00:00' AND co.semester = (SELECT MAX(semester) FROM ClassCourse);",[]
What time is the first Machine Learning class ('AIL') on Monday January 6th 2025?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT CONVERT(VARCHAR,s.start_time,108) AS StartTime FROM Schedules s
INNER JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
INNER JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_name = 'Machine Learning' AND CONVERT(VARCHAR,s.start_time,101) = '01/06/2025' AND DATENAME(dw, s.start_time) = 'Monday'
ORDER BY s.start_time
OFFSET 0 ROWS FETCH NEXT 1 ROWS ONLY",SUCCESS,,"[
  {
    ""StartTime"": ""07:30:00""
  }
]"
How many classes are scheduled for January 6th 2025?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT T1.class_course_id)
FROM Schedules AS T1
INNER JOIN ClassCourse AS T2 ON T1.class_course_id = T2.class_course_id
WHERE T1.start_time >= '2025-01-06 00:00:00' AND T1.start_time < '2025-01-07 00:00:00';",SUCCESS,,"[
  {
    """": 3
  }
]"
Which subjects have a duration longer than 2 hours?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE DATEDIFF(minute, s.start_time, s.end_time) > 120
GROUP BY c.course_name;",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
Show the timetable for class AI01 during the Fall semester of last year.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT
	s.start_time,
	s.end_time,
	s.room
FROM Schedules AS s
INNER JOIN ClassCourse AS cc
	ON s.class_course_id = cc.class_course_id
INNER JOIN Classes AS c
	ON cc.class_id = c.class_id
WHERE
	c.class_id = 'AI01'
	AND cc.semester = 'FA24'",SUCCESS,,"[
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R002""
  }
]"
What is the number of classes held in each classroom this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.room, COUNT(*) AS NumberOfClasses FROM Schedules s JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id WHERE cc.semester = (SELECT MAX(semester) FROM ClassCourse) GROUP BY s.room",SUCCESS,,"[
  {
    ""room"": ""R001"",
    ""NumberOfClasses"": 5
  },
  {
    ""room"": ""R003"",
    ""NumberOfClasses"": 5
  },
  {
    ""room"": ""R004"",
    ""NumberOfClasses"": 5
  }
]"
Show the morning classes in room R002 last semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id,c.course_id,s.start_time,s.room FROM ClassCourse AS cc JOIN Classes AS c ON cc.class_id=c.class_id JOIN Schedules AS s ON cc.class_course_id=s.class_course_id WHERE s.room='R002' AND CAST(s.start_time AS DATE) BETWEEN DATEADD(month,-6,GETDATE()) AND GETDATE() AND CAST(s.start_time AS TIME) BETWEEN '00:00:00' AND '12:00:00'",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_id'. (207) (SQLExecDirectW) executing query: SELECT c.class_id,c.course_id,s.start_time,s.room FROM ClassCourse AS cc JOIN Classes AS c ON cc.class_id=c.class_id JOIN Schedules AS s ON cc.class_course_id=s.class_course_id WHERE s.room='R002' AND CAST(s.start_time AS DATE) BETWEEN DATEADD(month,-6,GETDATE()) AND GETDATE() AND CAST(s.start_time AS TIME) BETWEEN '00:00:00' AND '12:00:00'",[]
"How many classes are held in the morning, afternoon in this semester?","{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(CASE WHEN CAST(Schedules.start_time AS TIME) BETWEEN '07:00:00' AND '11:59:59' THEN 1 END) AS MorningClasses, COUNT(CASE WHEN CAST(Schedules.start_time AS TIME) BETWEEN '12:00:00' AND '17:00:00' THEN 1 END) AS AfternoonClasses FROM Schedules INNER JOIN ClassCourse ON Schedules.class_course_id = ClassCourse.class_course_id WHERE ClassCourse.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""MorningClasses"": 10,
    ""AfternoonClasses"": 5
  }
]"
Which days of the week does the AI01 class have Machine Learning?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DATENAME(dw,s.start_time) AS DayOfWeek FROM Schedules s JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id JOIN Courses c ON cc.course_id = c.course_id WHERE cc.class_id = 'AI01' AND c.course_name = 'Machine Learning' GROUP BY DATENAME(dw,s.start_time)",SUCCESS,,"[
  {
    ""DayOfWeek"": ""Monday""
  },
  {
    ""DayOfWeek"": ""Wednesday""
  }
]"
How many scheduled sessions are there for the IA01 section?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(*) FROM Schedules AS T1 INNER JOIN ClassCourse AS T2 ON T1.class_course_id = T2.class_course_id WHERE T2.class_id = 'IA01',SUCCESS,,"[
  {
    """": 10
  }
]"
Show the schedule for all Mathematics for Engineering classes last semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.*
FROM Schedules s
INNER JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
INNER JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_name LIKE '%Mathematics for Engineering%'
  AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,[]
Which courses have classes on Mondays in this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE DATENAME(dw, s.start_time) = 'Monday' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
How many classes are there for each course this term?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name, COUNT(DISTINCT cl.class_id) AS NumberOfClasses
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
GROUP BY c.course_name;",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning"",
    ""NumberOfClasses"": 1
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""NumberOfClasses"": 1
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""NumberOfClasses"": 2
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""NumberOfClasses"": 1
  }
]"
Which courses have classes that start after 3:00 PM this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE CAST(s.start_time AS TIME) > '15:00:00' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  }
]"
What's the total duration of all 'Malware Analysis and Reverse Engineering' classes?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT SUM(DATEDIFF(minute, start_time, end_time)) AS TotalDurationInMinutes
FROM Schedules
INNER JOIN ClassCourse ON Schedules.class_course_id = ClassCourse.class_course_id
INNER JOIN Courses ON ClassCourse.course_id = Courses.course_id
WHERE Courses.course_name = 'Malware Analysis and Reverse Engineering';",SUCCESS,,"[
  {
    ""TotalDurationInMinutes"": 700
  }
]"
Which courses have classes in room R004 this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE s.room = 'R004';",SUCCESS,,"[
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  }
]"
Show the schedule for classes taught by Professor Giang this semester.,"{""role"": ""Lecturer"", ""identity"": [""LEC01""]}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Giang%'
AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""schedule_id"": ""AI01_AIL_1"",
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 1
  },
  {
    ""schedule_id"": ""AI01_AIL_2"",
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 2
  },
  {
    ""schedule_id"": ""AI01_AIL_3"",
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 3
  },
  {
    ""schedule_id"": ""AI01_AIL_4"",
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 4
  },
  {
    ""schedule_id"": ""AI01_AIL_5"",
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 5
  }
]"
Which courses does Professor Hai teach?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname = 'Hai';",SUCCESS,,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
How many classes does Professor Giang teach this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT c.class_id)
FROM Users AS u
JOIN Lecturers AS l ON u.user_id = l.lecturer_id
JOIN ClassCourse AS cc ON l.lecturer_id = cc.lecturer_id
JOIN Classes AS c ON cc.class_id = c.class_id
WHERE u.fullname = 'Giang' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    """": 1
  }
]"
Which lecturers have classes in the morning this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE CAST(S.start_time AS TIME) >= '07:00:00' AND CAST(S.start_time AS TIME) < '12:00:00'
AND CC.semester = (SELECT MAX(semester) FROM ClassCourse);",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE CAST(S.start_time AS TIME) >= '07:00:00' AND CAST(S.start_time AS TIME) < '12:00:00'
AND CC.semester = (SELECT MAX(semester) FROM ClassCourse);",[]
Show the complete schedule (including class name course name and lecturer) for the AI01 class.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, cc.course_id, c.course_name, l.lecturer_id, l.fullname, s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE c.class_id = 'AI01'
ORDER BY s.start_time;",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT c.class_id, cc.course_id, c.course_name, l.lecturer_id, l.fullname, s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE c.class_id = 'AI01'
ORDER BY s.start_time;",[]
Which lecturer teaches the Mathematics for Engineering course for class IA01 on Monday at 7:30 AM?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Classes AS C ON CC.class_id = C.class_id
JOIN Courses AS CO ON CC.course_id = CO.course_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE C.class_id = 'IA01'
  AND CO.course_name = 'Mathematics for Engineering'
  AND DATENAME(dw, S.start_time) = 'Monday'
  AND CAST(S.start_time AS TIME) = '07:30:00';",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Classes AS C ON CC.class_id = C.class_id
JOIN Courses AS CO ON CC.course_id = CO.course_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE C.class_id = 'IA01'
  AND CO.course_name = 'Mathematics for Engineering'
  AND DATENAME(dw, S.start_time) = 'Monday'
  AND CAST(S.start_time AS TIME) = '07:30:00';",[]
How many lecturers have classes scheduled on September 9th 2024?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT L.lecturer_id)
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE S.start_time >= '2024-09-09 00:00:00' AND S.start_time < '2024-09-10 00:00:00';",SUCCESS,,"[
  {
    """": 2
  }
]"
Show Professor Giang's schedule sorted by start time.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.start_time, s.end_time, s.room, c.course_name, u.fullname
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Giang%'
ORDER BY s.start_time;",SUCCESS,,"[
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""fullname"": ""Giang""
  },
  {
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""fullname"": ""Giang""
  }
]"
Show the schedule for course MAE this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Schedules s
INNER JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
INNER JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_id = 'MAE' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,[]
Show my schedule for all the classes I am currently enrolled in.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT s.start_time,s.end_time,s.room,c.course_name
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001'
ORDER BY s.start_time;",SUCCESS,,"[
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-06T10:00:00"",
    ""end_time"": ""2025-01-06T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""start_time"": ""2025-01-08T07:30:00"",
    ""end_time"": ""2025-01-08T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-13T10:00:00"",
    ""end_time"": ""2025-01-13T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""start_time"": ""2025-01-15T07:30:00"",
    ""end_time"": ""2025-01-15T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-20T10:00:00"",
    ""end_time"": ""2025-01-20T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing""
  }
]"
